cod_ibge,nome,populacao,populacao_censo_2022
3166105,Senhora do Porto,3066,3067
3166204,Senhora dos Remédios,10657,10384
3166303,Sericita,7552,7345
3166402,Seritinga,1866,1819
3166501,Serra Azul de Minas,3808,3792
3166600,Serra da Saudade,856,833
3166709,Serra dos Aimorés,6859,6944
3166808,Serra do Salitre,12286,11801
3166907,Serrania,7811,7621
3166956,Serranópolis de Minas,4497,4399
3167004,Serranos,2036,1990
3167103,Serro,22624,21952
3167202,Sete Lagoas,238909,227397
3167301,Silveirânia,2399,2323
3167400,Silvianópolis,6348,6179
3167509,Simão Pereira,3084,2947
3167608,Simonésia,20431,19750
3167707,Sobrália,5140,5137
3167806,Soledade de Minas,5733,5613
3167905,Tabuleiro,4097,4014
3168002,Taiobeiras,34537,33050
3168051,Taparuba,3508,3387
3168101,Tapira,4215,4118
3168200,Tapiraí,1698,1690
3168309,Taquaraçu de Minas,4394,4224
3168408,Tarumirim,15104,14709
3168507,Teixeiras,12691,12255
3168606,Teófilo Otoni,142851,137418
3168705,Timóteo,84172,81579
3168804,Tiradentes,8056,7744
3168903,Tiros,8231,7883
3169000,Tocantins,16603,16185
3169059,Tocos do Moji,3894,3826
3169109,Toledo,7625,7214
3169208,Tombos,8653,8609
3169307,Três Corações,78291,75485
3169356,Três Marias,29985,28895
3169406,Três Pontas,57209,55255
3169505,Tumiritinga,5955,5886
3169604,Tupaciguara,26583,25470
3169703,Turmalina,20769,20000
3169802,Turvolândia,5097,4935
3169901,Ubá,107423,103365
3170008,Ubaí,11985,11708
3170057,Ubaporanga,13485,13017
3170107,Uberaba,356781,337836
3170206,Uberlândia,761835,713224
3170305,Umburatiba,2742,2684
3170404,Unaí,91320,86619
3170438,União de Minas,3818,3828
3170479,Uruana de Minas,3365,3282
3170503,Urucânia,10899,10600
3170529,Urucuia,18515,17479
3170578,Vargem Alegre,5800,5780
3170602,Vargem Bonita,2207,2158
3170651,Vargem Grande do Rio Pardo,4724,4633
3170701,Varginha,143676,136467
3170750,Varjão de Minas,7305,6969
3170800,Várzea da Palma,34555,33744
3170909,Varzelândia,19210,18840
3171006,Vazante,20459,19975
3171030,Verdelândia,7737,7672
3171071,Veredinha,5240,5181
3171105,Veríssimo,3478,3411
3171154,Vermelho Novo,5048,4899
3171204,Vespasiano,138583,129246
3171303,Viçosa,79517,76430
3171402,Vieiras,3781,3700
3171501,Mathias Lobato,3053,3038
3171600,Virgem da Lapa,11774,11804
3171709,Virgínia,9164,8908
3171808,Virginópolis,10511,10314
3171907,Virgolândia,4471,4552
3172004,Visconde do Rio Branco,40711,39160
3172103,Volta Grande,4441,4443
3172202,Wenceslau Braz,2377,2356
